<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
SBER D 230126 000000 153.32 154.3 151.73 152.4 45375340
SBER D 230127 000000 152.4 153.48 151.69 153.2 34069080
SBER D 230130 000000 153.5 153.88 152.21 153.38 31014210
SBER D 230131 000000 153.51 158.18 153.3 158.07 77840320
SBER D 230201 000000 158.2 159.6 156.5 158.29 66229060
SBER D 230202 000000 158.39 160.29 157.37 159.45 53822290
SBER D 230203 000000 159.09 162.32 157.88 161.26 63595690
SBER D 230206 000000 161.71 167.17 161.01 167.09 88885050
SBER D 230207 000000 167.3 168.7 163.4 165.39 92561690
SBER D 230208 000000 165.1 166.35 162.7 164.15 58565870
SBER D 230209 000000 164.35 167.47 161.27 165.31 107000260
SBER D 230210 000000 165 166.49 164.5 165.52 40772540
SBER D 230213 000000 165.21 166.88 164.17 164.32 36134650
SBER D 230214 000000 164.3 164.38 161.64 161.86 58676770
SBER D 230215 000000 160.93 161.12 153.83 156.25 113600860
SBER D 230216 000000 157.34 159.3 156.25 158.22 68386460
SBER D 230217 000000 157.95 160.38 156.91 159.73 51777410
SBER D 230220 000000 159.42 161.3 156.73 160.09 63810790
SBER D 230221 000000 160.64 165.65 159.26 164.15 127324000
SBER D 230222 000000 164.13 164.42 162.5 163.37 43695690
SBER D 230224 000000 163.33 165.5 163.1 164.3 37700530
SBER D 230227 000000 163.64 170 162.96 169.95 100005170
SBER D 230228 000000 170.48 171.92 168.37 169.82 80540860
SBER D 230301 000000 170.4 171.66 169.5 170.53 53655680
SBER D 230302 000000 170.4 170.4 166.55 168.05 86014000
SBER D 230303 000000 168.2 171.26 167.9 171.16 49424990
SBER D 230306 000000 172.13 172.99 171.35 171.84 64237540
SBER D 230307 000000 171.87 174.2 171 174.01 55231190
SBER D 230309 000000 174.85 174.89 172.21 172.55 79748090
SBER D 230310 000000 171.71 173 170.58 172.53 49778720
SBER D 230313 000000 172.53 173.9 169.26 172.15 73298080
SBER D 230314 000000 171.65 176.95 171.01 175.71 89212040
SBER D 230315 000000 176 177.37 173.59 175.3 79838900
SBER D 230316 000000 174.9 176.04 173.36 175.45 51345380
SBER D 230317 000000 183.02 193.66 178.56 193.59 384905230
SBER D 230320 000000 196.03 205.09 195 203.73 155827740
SBER D 230321 000000 204.75 208 201.25 203.32 122268990
SBER D 230322 000000 203.41 204.4 201.59 202.89 57464560
SBER D 230323 000000 202.55 204.2 202.22 202.58 26484020
SBER D 230324 000000 202.85 203.85 202 203.57 24297290
SBER D 230327 000000 204.02 213.2 204.01 211.84 101348890
SBER D 230328 000000 212.85 214.7 210.67 214.03 73669280
SBER D 230329 000000 214.86 219.53 213.6 217.99 96549640
SBER D 230330 000000 217.34 218.45 216.12 216.87 40737550
SBER D 230331 000000 217.2 217.35 211.3 216.6 88023190
SBER D 230403 000000 218.45 219.44 214.8 216.09 54788980
SBER D 230404 000000 216.2 217.29 213.8 214.83 45747250
SBER D 230405 000000 214.69 216.3 211.4 216.15 46127960
SBER D 230406 000000 216.3 217.38 214.07 214.25 38993420
SBER D 230407 000000 214.5 216.39 213.65 216.27 29157060
SBER D 230410 000000 217.1 222.26 216.61 222.21 84958930
SBER D 230411 000000 222.9 223.33 217.62 218.6 98349200
SBER D 230412 000000 218.62 219.7 216.67 219.22 44633200
SBER D 230413 000000 219.41 220.89 218 219.85 32580550
SBER D 230414 000000 219.99 222.5 218.51 221.87 43248810
SBER D 230417 000000 222.97 228.2 222.91 228.1 78562510
SBER D 230418 000000 227.89 232.76 227.05 232.66 97459980
SBER D 230419 000000 232.67 237.37 231.1 232.95 115494020
SBER D 230420 000000 233.32 236.47 229.84 236.28 85046740
