<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;200904;000000;365.7;372.8;365;372.5;5653510
ROSN;D;200907;000000;370;373.4;367.45;371.4;3413950
ROSN;D;200908;000000;370.5;372.65;364.5;367.9;5020740
ROSN;D;200909;000000;367.8;372.75;367.35;371.8;4596510
ROSN;D;200910;000000;372;373;365.65;366.9;4262410
ROSN;D;200911;000000;367.25;371.7;365.5;370.05;3234080
ROSN;D;200914;000000;372;376.9;370.65;374.45;3274330
ROSN;D;200915;000000;373.1;385.7;373.1;385.3;4044830
ROSN;D;200916;000000;386.3;389.9;381.8;385.75;4940960
ROSN;D;200917;000000;382.6;384.15;378.65;382.55;5316600
ROSN;D;200918;000000;382.55;384;374.5;376.5;4164420
ROSN;D;200921;000000;375.9;375.95;363.4;368.3;6771470
ROSN;D;200922;000000;367.6;375.7;366.75;374.8;4161700
ROSN;D;200923;000000;375.8;379.55;370.15;370.75;3811370
ROSN;D;200924;000000;373.25;379;369.15;376.7;3868270
ROSN;D;200925;000000;378.15;381.5;376.95;381.4;4443610
ROSN;D;200928;000000;382.35;386.45;380.45;385.9;3432800
ROSN;D;200929;000000;386.1;389.4;380.8;384;4541140
ROSN;D;200930;000000;382.9;387.95;381.7;383;3703610
ROSN;D;201001;000000;386.7;389.1;382.1;385.45;5599090
ROSN;D;201002;000000;383.5;384.2;378.1;380.45;5004850
ROSN;D;201005;000000;383;390.7;381.25;390.6;5734850
ROSN;D;201006;000000;391.55;395.7;389.85;390.2;4588390
ROSN;D;201007;000000;390;392.95;385.45;388.85;4071060
ROSN;D;201008;000000;390.15;394.2;386.1;392.5;4039530
ROSN;D;201009;000000;392.25;392.3;383.8;386.55;3072920
ROSN;D;201012;000000;386.1;387.15;382.7;384.15;4426510
ROSN;D;201013;000000;384;384.5;378.15;378.85;2533980
ROSN;D;201014;000000;378.95;385.95;376.4;385.4;3024070
ROSN;D;201015;000000;384.25;384.95;379.2;380.2;3617210
ROSN;D;201016;000000;378.8;384.35;377.95;382.95;3356330
ROSN;D;201019;000000;385.05;385.6;379.5;381.55;3104700
ROSN;D;201020;000000;380.95;385.5;380;384.6;2246790
ROSN;D;201021;000000;384.75;385.3;381.35;383.55;2369990
ROSN;D;201022;000000;382.85;384.85;380;381.8;2904200
ROSN;D;201023;000000;381.45;381.8;378.5;379.85;2406430
ROSN;D;201026;000000;377;378;373.6;374.55;2824480
ROSN;D;201027;000000;375.2;376.9;372.05;372.5;3053650
ROSN;D;201028;000000;371.6;371.8;350.5;350.9;9825060
ROSN;D;201029;000000;353.1;354.2;345;353;8003320
ROSN;D;201030;000000;349;352.35;343.6;349.8;5704950
ROSN;D;201102;000000;346.9;359.55;342.1;359.2;8445110
ROSN;D;201103;000000;360.05;376.8;358.35;374;8066890
ROSN;D;201105;000000;378.3;386.9;372.35;382.4;9341750
ROSN;D;201106;000000;380.45;384.7;378.15;382.35;6410160
ROSN;D;201109;000000;385.2;405;378.15;395.4;15975450
ROSN;D;201110;000000;395.3;418.85;392.25;414.55;11049050
ROSN;D;201111;000000;416.1;429;415.85;419.35;16134680
ROSN;D;201112;000000;418;419.65;410.55;412.3;7707490
ROSN;D;201113;000000;412.1;419.35;408.55;419.35;6385910
ROSN;D;201116;000000;425;435.45;415.65;430.95;12954860
ROSN;D;201117;000000;430.9;441.5;419.8;438.85;15121160
ROSN;D;201118;000000;437.6;460;436.25;452.9;19288970
ROSN;D;201119;000000;452.45;454.1;443.05;451.85;9538980
ROSN;D;201120;000000;450.5;465;446.15;464.8;13300420
ROSN;D;201123;000000;466.7;472.25;463.65;469.6;11202090
ROSN;D;201124;000000;472.5;474.9;462.3;472.2;8975140
ROSN;D;201125;000000;473.25;474.8;467.6;473.3;6841910
ROSN;D;201126;000000;473.45;473.8;463.8;464.75;5961830
ROSN;D;201127;000000;465;466.4;456.65;461.2;6127670
ROSN;D;201130;000000;457.1;458;444.6;449.5;9262240
ROSN;D;201201;000000;448.75;452.3;441.8;446.4;7838630
ROSN;D;201202;000000;445.55;451.8;439.3;448.75;6805840
ROSN;D;201203;000000;448.5;450;428.2;435.35;10752710
ROSN;D;201204;000000;439.55;447.3;437;444.8;8579520
ROSN;D;201207;000000;444.5;445.45;437.55;439.45;5017940
ROSN;D;201208;000000;438.1;438.1;426.7;432.75;7169830
ROSN;D;201209;000000;432.55;441.75;429.6;435.6;7633520
ROSN;D;201210;000000;434.7;452.15;434.5;450.9;8114000
ROSN;D;201211;000000;452;454;445;447.25;6776360
